
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 6
overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
playerGuideOverseerSpawnChance: 0
rippleSpiderThreshold: 12
proceduralMusicBank: wara
Room_Attr: WARD_E22: Vulture-Forbidden,BigMoth-Forbidden,SmallMoth-Forbidden,
Room_Attr: WARD_E23: Vulture-Forbidden,
Room_Attr: WARD_E24: Vulture-Forbidden,
Room_Attr: WARD_E26: BigMoth-Like,SmallMoth-Like,
Room_Attr: WARD_E27: Vulture-Forbidden,
Room_Attr: WARD_E29: Vulture-Forbidden,
Room_Attr: WARD_E30: Vulture-Forbidden,BigMoth-Like,SmallMoth-Like,
Room_Attr: WARD_E31: Vulture-Forbidden,BigMoth-Stay,SmallMoth-Stay,
Room_Attr: WARD_E32: Vulture-Forbidden,BigMoth-Like,SmallMoth-Like,
Room_Attr: WARD_E33: Vulture-Forbidden,BigMoth-Like,SmallMoth-Like,
