GATE_SU_DS: -446.2366><-442.6688><-584.225><-597.8437><2><><48><35
SU_B14: -694.008><-457.0859><-814.4929><-606.3141><2><><105><35
SU_A30: -768.3188><-342.0746><-811.1249><-479.1939><2><Outskirts><48><35
SU_S06: -306.3144><-108.0827><-302.8952><-73.06922><0><><48><35
SU_B09W_👀: -202.3189><51.92558><-175.1248><17.80627><0><Outskirts><52><78
OffScreenDen_SU: -623.3188><1138.926><404.8755><608.8059><1><><0><0
Connection: GATE_SU_DS,SU_B14,2,9,98,14,2,0
Connection: GATE_SU_HI,SU_B13,2,9,26,56,2,0
Connection: GATE_LF_SU,SU_A45,45,9,3,18,0,2
Connection: SU_B13,SU_A33,15,16,14,34,3,1
Connection: SU_A33,SU_B04,44,31,7,33,0,2
Connection: SU_A33,SU_A20,3,27,47,28,2,0
Connection: SU_B04,SU_A37,100,22,6,23,0,2
Connection: SU_B04,SU_A34,4,2,45,2,2,0
Connection: SU_A34,SU_A20,2,12,49,12,2,0
Connection: SU_A37,SU_S04,23,31,23,18,1,3
Connection: SU_A37,SU_A63,47,23,10,23,0,2
Connection: SU_A37,SU_A39,26,18,25,33,3,1
Connection: SU_A63,SU_B12,39,25,5,25,0,2
Connection: SU_B12,SU_A17,99,13,6,11,0,2
Connection: SU_A17,SU_A40,48,22,2,24,0,2
Connection: SU_A40,SU_B07,2,17,99,25,2,0
Connection: SU_B07,SU_A02,5,23,49,21,2,0
Connection: SU_A02,SU_A53,4,21,46,19,2,0
Connection: SU_A53,SU_A39,3,29,37,26,2,0
Connection: SU_A53,SU_A38,8,7,48,5,2,0
Connection: SU_A53,SU_A25,29,3,41,27,3,0
Connection: SU_A39,SU_A06,6,26,49,27,2,0
Connection: SU_A38,SU_A06,6,5,49,6,2,0
Connection: SU_A38,SU_A25,27,8,15,24,3,1
Connection: SU_A25,SU_A23,6,14,42,30,2,0
Connection: SU_A25,SU_A24,48,5,38,24,3,1
Connection: SU_A24,SU_A23,14,10,46,9,3,0
Connection: SU_A23,SU_A22,6,12,29,27,2,1
Connection: SU_A22,SU_A43,23,27,34,12,1,3
Connection: SU_A22,SU_S01,12,16,31,18,2,0
Connection: SU_C04,SU_A41,151,11,5,9,0,2
Connection: SU_A41,SU_A42,19,29,10,3,2,3
Connection: SU_A41,SU_A43,48,23,6,23,0,2
Connection: SU_A41,SU_A44,47,5,4,5,0,2
Connection: SU_A06,SU_A36,4,25,48,26,2,0
Connection: SU_A36,SU_B08,5,5,102,8,2,0
Connection: SU_B08,SU_B09W_👀,1,7,48,8,2,0
Connection: SU_A35,SU_B09W_👀,14,27,29,51,1,3
Connection: SU_A35,SU_A20,48,22,3,2,0,3
Connection: SU_A20,SU_A29,5,20,49,20,2,0
Connection: SU_A31,SU_B02,3,29,3,3,1,2
Connection: SU_A31,SU_B09W_👀,44,7,2,48,0,2
Connection: SU_A31,SU_A32,3,3,39,31,3,1
Connection: SU_A32,SU_B05,2,10,36,16,2,0
Connection: SU_B05,SU_B06,49,69,11,45,0,3
Connection: SU_B05,SU_A07,8,57,49,12,3,0
Connection: SU_A07,SU_C02,4,10,144,9,2,0
Connection: SU_A45,SU_C02,44,20,8,19,0,2
Connection: SU_B06,SU_B11,42,73,10,3,0,3
Connection: SU_B06,SU_A12,42,69,4,22,0,2
Connection: SU_B11,SU_A13,95,12,5,12,0,2
Connection: SU_B11,SU_A12,65,3,14,31,3,1
Connection: SU_A12,SU_B02,49,22,5,66,0,2
Connection: SU_A13,SU_B02,40,3,9,73,3,1
Connection: SU_B02,SU_A29,49,26,5,26,0,2
Connection: SU_B10,SU_B09W_👀,22,74,24,12,1,3
Connection: SU_B10,SU_A10,22,47,49,10,3,0
Connection: SU_A10,SU_B01,4,19,48,53,2,0
Connection: SU_B01,SU_A04,5,51,37,11,2,0
Connection: SU_B01,SU_S03,48,23,18,17,0,2
Connection: SU_B01,SU_A30,5,21,43,15,2,0
Connection: SU_A04,SU_C01,4,7,44,83,2,0
Connection: SU_C01,SU_A30,45,41,14,11,0,3
Connection: SU_C01,SU_B14,44,15,3,14,0,2
Connection: SU_S06,SU_B09W_👀,24,22,3,10,1,2
